Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
26,LaMelo Ball,20,CHO,PG,75,75,2422,.429,15.9,.549,.204,.176,.104,.065,.451,.462,.582,.398,.389,.370,.389,.264,.750,.023,24,.152,.407,2,0,AS,ballla01
27,James Harden,32,2TM,PG,65,65,2419,.410,14.9,.548,.231,.232,.061,.024,.452,.476,.598,.370,.426,.458,.330,.189,.257,.006,6,.049,.273,0,0,AS,hardeja01
27,James Harden,32,BRK,PG,44,44,1627,.414,14.2,.565,.239,.242,.061,.023,.435,.476,.574,.386,.419,.563,.332,.158,.235,.008,6,.052,.188,0,0,,hardeja01
27,James Harden,32,PHI,PG,21,21,792,.402,15.6,.507,.210,.206,.063,.028,.493,.476,.667,.322,.444,.250,.326,.275,.304,.000,0,.043,.500,0,0,,hardeja01
28,Nikola Vučević,31,CHI,C,73,73,2418,.473,13.0,.713,.223,.253,.137,.101,.287,.537,.708,.490,.449,.397,.314,.713,1.000,.032,34,.060,.300,2,0,,vucevni01
29,RJ Barrett,21,NYK,SF,70,70,2417,.408,12.0,.662,.309,.243,.068,.042,.338,.442,.596,.307,.309,.300,.342,.398,.913,.040,40,.248,.310,1,0,,barrerj01
30,Royce O'Neale,28,UTA,SF,77,77,2406,.457,18.7,.311,.194,.106,.011,.000,.689,.609,.686,.532,.000,,.389,.679,.983,.025,10,.307,.383,1,0,,onealro01
31,Keldon Johnson,22,SAS,SF,75,74,2392,.466,13.4,.605,.218,.295,.064,.029,.395,.510,.645,.450,.369,.414,.398,.644,.969,.028,25,.228,.484,1,0,,johnske04
32,Aaron Gordon,26,DEN,PF,75,75,2376,.520,11.5,.688,.381,.169,.084,.054,.312,.605,.796,.369,.329,.422,.335,.628,.851,.173,130,.419,.349,4,0,,gordoaa01
33,Dejounte Murray,25,SAS,PG,68,68,2366,.462,12.7,.763,.214,.206,.226,.116,.237,.504,.665,.418,.456,.451,.327,.189,.698,.019,23,.170,.280,0,0,AS,murrade01
34,Evan Fournier,29,NYK,SG,80,80,2358,.417,19.6,.359,.081,.122,.079,.077,.641,.465,.603,.390,.474,.432,.389,.478,.880,.004,3,.281,.437,2,0,,fournev01
35,Patty Mills,33,BRK,SG,81,48,2346,.408,21.4,.285,.064,.037,.065,.118,.715,.429,.745,.207,.365,.362,.400,.619,.925,.000,0,.257,.397,3,0,,millspa02
36,Devin Booker,25,PHO,SG,68,68,2345,.466,16.1,.664,.110,.158,.224,.171,.336,.508,.694,.476,.469,.469,.383,.399,.634,.016,21,.123,.356,2,0,MVP-4ASNBA1,bookede01
37,Reggie Jackson,31,LAC,SG,75,75,2337,.392,16.3,.581,.145,.190,.106,.140,.419,.439,.627,.444,.354,.304,.326,.205,.587,.011,10,.186,.358,2,0,,jacksre01
38,Herbert Jones,23,NOP,PF,78,69,2335,.476,10.7,.707,.413,.205,.016,.073,.293,.533,.685,.288,.444,.381,.337,.631,1.000,.104,52,.521,.341,1,0,ROY-6,joneshe01
39,Evan Mobley,20,CLE,PF,69,69,2331,.508,8.4,.889,.364,.307,.143,.075,.111,.541,.758,.380,.445,.323,.250,.652,.957,.198,151,.228,.333,1,0,ROY-2,mobleev01
40,Andrew Wiggins,26,GSW,SF,73,73,2330,.466,14.9,.608,.161,.242,.094,.111,.392,.513,.732,.490,.365,.372,.393,.497,.898,.051,45,.261,.442,0,0,AS,wiggian01
41,Kentavious Caldwell-Pope,28,WAS,SG,77,77,2329,.435,18.1,.508,.105,.117,.112,.175,.492,.480,.678,.361,.430,.469,.390,.619,.912,.011,6,.346,.468,0,0,,caldwke01
42,Zach LaVine,26,CHI,SG,67,67,2328,.476,15.2,.599,.264,.103,.086,.147,.401,.534,.700,.451,.343,.408,.389,.350,.568,.055,62,.139,.530,0,0,AS,lavinza01
43,Alec Burks,30,NYK,SG,81,44,2318,.391,17.4,.466,.124,.165,.111,.066,.534,.378,.444,.342,.358,.375,.404,.430,.752,.004,3,.226,.432,0,0,,burksal01
44,Terance Mann,25,LAC,SF,81,33,2317,.484,12.3,.699,.313,.180,.138,.068,.301,.535,.690,.460,.400,.298,.365,.519,.842,.099,56,.389,.358,5,0,,mannte01
45,Luka Dončić,22,DAL,PG,65,65,2301,.457,15.9,.594,.128,.239,.165,.062,.406,.528,.778,.499,.440,.356,.353,.107,.219,.006,7,.049,.286,2,0,MVP-5ASNBA1,doncilu01
46,Joel Embiid,27,PHI,C,68,68,2297,.499,11.9,.812,.253,.194,.240,.124,.188,.529,.763,.409,.431,.428,.371,.513,.710,.060,74,.048,.250,1,0,MVP-2ASNBA2,embiijo01
47,Marcus Smart,27,BOS,PG,71,71,2296,.418,16.1,.499,.146,.251,.075,.026,.501,.506,.695,.439,.500,.105,.331,.365,.916,.013,8,.233,.345,2,0,DPOY-1,smartma01
