Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
112,Brandon Ingram,24,NOP,SF,55,55,1869,.461,14.6,.770,.140,.152,.249,.229,.230,.501,.681,.436,.506,.427,.327,.401,.892,.045,39,.133,.400,3,1,,ingrabr01
113,Cody Martin,26,CHO,SF,71,11,1866,.482,12.1,.624,.390,.137,.045,.052,.376,.542,.679,.345,.316,.227,.384,.636,.885,.092,34,.597,.379,1,0,,martico01
114,Ivica Zubac,24,LAC,C,76,76,1852,.626,3.4,1.000,.580,.382,.032,.006,.000,.626,.714,.508,.500,.333,,.719,,.248,110,,,0,0,,zubaciv01
115,Wendell Carter Jr.,22,ORL,PF,62,61,1852,.525,12.1,.687,.327,.202,.101,.057,.313,.615,.781,.457,.478,.462,.327,.609,1.000,.143,90,.103,.364,1,0,,cartewe01
116,Jeff Green,35,DEN,PF,75,63,1849,.524,11.3,.682,.342,.233,.078,.030,.318,.620,.790,.496,.415,.188,.315,.821,.981,.153,74,.548,.315,2,0,,greenje02
117,Mitchell Robinson,23,NYK,C,72,62,1848,.761,1.2,1.000,.918,.082,.000,.000,.000,.761,.781,.536,,,,.517,,.583,178,,,0,0,,robinmi01
118,Bogdan Bogdanović,29,ATL,SG,63,27,1848,.431,18.6,.422,.113,.115,.108,.086,.578,.516,.622,.440,.523,.471,.368,.382,.793,.005,3,.231,.453,3,0,6MOY-6,bogdabo01
119,Dennis Schröder,28,2TM,PG,64,29,1837,.431,15.0,.655,.169,.228,.126,.133,.345,.477,.639,.442,.374,.427,.344,.265,.721,.000,0,.112,.357,1,0,,schrode01
119,Dennis Schröder,28,BOS,PG,49,25,1433,.440,14.5,.671,.163,.240,.132,.137,.329,.485,.653,.471,.403,.388,.349,.289,.731,.000,0,.125,.375,1,0,,schrode01
119,Dennis Schröder,28,HOU,PG,15,4,404,.393,15.6,.586,.193,.179,.100,.114,.414,.439,.593,.280,.214,.625,.328,.139,.684,.000,0,.069,.250,0,0,,schrode01
120,Bam Adebayo,24,MIA,C,56,56,1825,.557,7.0,.992,.395,.309,.200,.088,.008,.562,.771,.467,.404,.313,.000,.608,,.181,119,.000,,2,0,DPOY-4,adebaba01
121,Mo Bamba,23,ORL,C,71,69,1824,.480,14.3,.545,.285,.157,.045,.057,.455,.563,.727,.433,.286,.314,.381,.566,.991,.159,85,.270,.303,0,0,,bambamo01
122,Isaiah Stewart,20,DET,C,71,71,1816,.510,5.6,.906,.584,.243,.039,.041,.094,.529,.591,.445,.158,.500,.326,.689,.933,.061,28,.087,.000,0,0,,stewais01
123,Jarrett Allen,23,CLE,C,56,56,1810,.677,3.8,.982,.624,.294,.046,.018,.018,.688,.809,.469,.480,.600,.100,.734,.000,.343,164,.600,.000,0,0,AS,allenja01
124,Grayson Allen,26,MIL,SG,66,61,1805,.448,19.2,.316,.158,.097,.047,.014,.684,.533,.678,.400,.370,.375,.409,.646,.912,.023,10,.260,.455,0,0,,allengr01
125,Robert Williams,24,BOS,C,61,61,1804,.736,2.4,.997,.772,.198,.014,.014,.003,.738,.792,.589,.200,.400,.000,.694,,.470,157,.000,,0,0,DPOY-7,williro04
126,Jaden McDaniels,21,MIN,PF,70,31,1803,.460,13.8,.545,.283,.179,.054,.029,.455,.579,.726,.364,.533,.563,.317,.720,.988,.101,46,.496,.360,1,0,,mcdanja02
127,Immanuel Quickley,22,NYK,PG,78,3,1802,.392,18.4,.453,.090,.167,.130,.066,.547,.448,.631,.421,.404,.354,.346,.299,.526,.004,2,.104,.390,0,0,6MOY-10,quickim01
128,Corey Kispert,22,WAS,SF,77,36,1801,.455,18.1,.377,.167,.132,.045,.033,.623,.629,.791,.515,.565,.353,.350,.803,.982,.025,12,.325,.423,0,0,,kispeco01
129,Dwight Powell,30,DAL,C,82,71,1798,.671,4.6,.908,.708,.160,.020,.020,.092,.703,.792,.422,.375,.125,.351,.855,1.000,.302,108,.216,.625,1,0,,poweldw01
130,Mason Plumlee,31,CHO,C,73,73,1793,.641,3.1,.994,.681,.266,.044,.003,.006,.645,.752,.424,.357,.000,.000,.776,,.375,108,.000,,1,0,,plumlma01
131,Carmelo Anthony,37,LAL,PF,69,3,1793,.441,19.1,.451,.101,.066,.152,.131,.549,.521,.671,.417,.500,.484,.375,.482,.919,.019,11,.171,.412,0,0,,anthoca01
132,Josh Hart,26,2TM,SG,54,53,1791,.504,13.0,.626,.399,.134,.060,.033,.374,.601,.705,.434,.382,.421,.343,.472,.740,.035,19,.169,.583,0,0,,hartjo01
132,Josh Hart,26,NOP,SG,41,40,1374,.505,11.4,.663,.440,.137,.052,.034,.337,.598,.688,.415,.400,.462,.323,.503,.857,.039,14,.208,.593,0,0,,hartjo01
132,Josh Hart,26,POR,SG,13,13,417,.503,14.5,.546,.311,.126,.077,.033,.454,.610,.754,.478,.357,.333,.373,.393,.581,.027,5,.108,.556,0,0,,hartjo01
133,Caris LeVert,27,2TM,SG,58,49,1781,.444,12.7,.700,.207,.260,.201,.032,.300,.497,.638,.441,.442,.370,.320,.303,.634,.023,20,.129,.303,0,0,,leverca01
133,Caris LeVert,27,IND,SG,39,39,1214,.447,13.0,.696,.195,.259,.211,.032,.304,.501,.661,.453,.420,.450,.323,.295,.574,.024,15,.138,.346,0,0,,leverca01
133,Caris LeVert,27,CLE,SG,19,10,567,.435,12.4,.711,.241,.263,.177,.030,.289,.485,.589,.410,.512,.143,.313,.325,.810,.022,5,.104,.143,0,0,,leverca01
134,Bruce Brown,25,BRK,SF,72,45,1774,.506,8.4,.814,.393,.302,.103,.016,.186,.529,.693,.379,.404,.125,.404,.743,.974,.071,34,.649,.410,0,0,,brownbr01
135,P.J. Washington,23,CHO,C,65,28,1768,.470,15.8,.434,.286,.132,.015,.002,.566,.606,.711,.400,.500,.000,.365,.793,.973,.103,51,.252,.316,3,0,,washipj01
136,Chuma Okeke,23,ORL,PF,70,20,1749,.376,18.6,.355,.137,.139,.045,.033,.645,.480,.658,.413,.346,.211,.318,.531,.966,.054,29,.240,.382,0,0,,okekech01
137,Georges Niang,28,PHI,PF,76,7,1736,.437,19.1,.313,.119,.153,.032,.009,.687,.511,.627,.465,.389,.200,.403,.711,.981,.004,2,.305,.390,1,0,,niangge01
138,Kevon Looney,25,GSW,C,82,80,1732,.571,4.6,.997,.541,.308,.066,.082,.003,.573,.675,.554,.292,.200,.000,.736,,.239,83,.000,,0,0,,looneke01
139,Cameron Johnson,25,PHO,PF,66,16,1730,.460,18.6,.356,.127,.147,.041,.041,.644,.523,.766,.483,.240,.200,.425,.673,.976,.035,19,.368,.465,1,0,6MOY-3,johnsca02
140,Gary Harris,27,ORL,SG,61,30,1730,.434,17.2,.454,.145,.152,.051,.107,.546,.494,.675,.464,.429,.322,.384,.589,.931,.014,7,.464,.471,0,0,,harriga01
141,OG Anunoby,24,TOR,SF,48,48,1728,.443,15.1,.545,.263,.125,.080,.077,.455,.511,.689,.356,.393,.278,.363,.464,.870,.109,62,.293,.484,0,0,,anunoog01
142,Precious Achiuwa,22,TOR,C,73,28,1725,.439,10.2,.741,.348,.274,.085,.035,.259,.468,.614,.345,.373,.190,.359,.598,.964,.143,67,.429,.313,0,0,,achiupr01
143,Deandre Ayton,23,PHO,C,58,58,1713,.634,7.0,.973,.333,.397,.184,.059,.027,.642,.793,.588,.555,.415,.368,.809,1.000,.145,95,.000,,0,0,,aytonde01
144,Garrison Mathews,25,HOU,SG,65,33,1712,.399,22.5,.163,.104,.041,.009,.009,.837,.600,.771,.316,.250,.250,.360,.756,.978,.024,10,.244,.330,0,0,,mathega01
145,Josh Giddey,19,OKC,SF,54,54,1700,.419,12.7,.682,.196,.336,.097,.054,.318,.492,.649,.444,.431,.333,.263,.302,.821,.009,4,.202,.326,0,0,,giddejo01
146,Pat Connaughton,29,MIL,SF,65,19,1691,.458,20.2,.254,.161,.065,.022,.006,.746,.643,.725,.500,.636,.000,.395,.778,.952,.018,8,.295,.450,1,0,,connapa01
147,Chris Boucher,29,TOR,SF,80,9,1690,.464,12.1,.603,.430,.113,.026,.035,.397,.575,.661,.400,.400,.200,.297,.670,.985,.128,67,.275,.429,1,0,,bouchch01
148,Matisse Thybulle,24,PHI,SG,66,50,1685,.500,13.1,.520,.407,.097,.017,.000,.480,.673,.795,.276,.000,,.313,.733,.956,.203,60,.486,.371,0,0,DPOY-11,thybuma01
149,Anfernee Simons,22,POR,SG,57,30,1681,.443,19.0,.445,.113,.118,.109,.105,.555,.490,.567,.489,.483,.417,.405,.195,.654,.011,8,.090,.400,2,0,,simonan01
150,Coby White,21,CHI,PG,61,17,1675,.433,17.4,.452,.183,.130,.065,.073,.548,.491,.661,.357,.381,.404,.385,.420,.897,.008,5,.198,.471,2,0,,whiteco01
151,Danilo Gallinari,33,ATL,PF,66,18,1672,.434,18.4,.508,.119,.089,.151,.149,.492,.485,.718,.377,.467,.382,.381,.469,.920,.032,19,.116,.471,2,1,,gallida01
152,Eric Gordon,33,HOU,SG,57,46,1670,.475,16.2,.466,.238,.200,.021,.007,.534,.548,.679,.416,.333,.500,.412,.340,.718,.005,3,.066,.500,0,0,,gordoer01
153,Kevin Love,33,CLE,C,74,4,1665,.430,19.7,.373,.113,.100,.084,.076,.627,.493,.709,.461,.391,.328,.392,.571,.936,.008,5,.170,.358,1,0,6MOY-2,loveke01
154,Luguentz Dort,22,OKC,SG,51,51,1665,.404,16.4,.461,.197,.204,.029,.032,.539,.487,.615,.419,.238,.348,.332,.491,.877,.037,24,.143,.429,1,0,,dortlu01
155,John Collins,24,ATL,PF,54,53,1663,.526,11.0,.727,.334,.211,.127,.054,.273,.588,.753,.463,.439,.400,.364,.793,.984,.146,85,.318,.375,0,0,,collijo01
156,De'Anthony Melton,23,MEM,SG,73,15,1657,.404,17.2,.465,.167,.164,.068,.066,.535,.440,.595,.368,.383,.283,.374,.472,.856,.037,21,.156,.500,3,0,6MOY-8,meltode01
157,KJ Martin,21,HOU,SF,79,2,1656,.533,9.8,.679,.455,.222,.002,.000,.321,.617,.739,.371,.000,,.357,.735,1.000,.256,114,.274,.283,0,0,,martike04
158,Killian Hayes,20,DET,PG,66,40,1647,.383,14.3,.636,.163,.253,.135,.085,.364,.452,.747,.345,.387,.308,.263,.341,.909,.031,13,.359,.333,0,0,,hayeski01
159,Montrezl Harrell,28,2TM,C,71,3,1641,.645,4.4,.969,.582,.274,.079,.034,.031,.658,.771,.533,.409,.316,.235,.653,1.000,.286,150,.118,.500,2,0,6MOY-9,harremo01
159,Montrezl Harrell,28,WAS,C,46,3,1117,.645,5.5,.961,.517,.319,.089,.037,.039,.660,.788,.541,.471,.357,.267,.646,1.000,.272,101,.133,.500,2,0,,harremo01
159,Montrezl Harrell,28,CHO,C,25,0,524,.645,3.3,.988,.727,.174,.058,.029,.012,.653,.744,.500,.200,.200,.000,.667,,.320,49,.000,,0,0,,harremo01
160,Lonnie Walker IV,23,SAS,SG,70,6,1612,.407,17.0,.538,.166,.122,.093,.157,.462,.487,.693,.430,.366,.383,.314,.540,.856,.029,21,.195,.362,5,0,,walkelo01
161,Cory Joseph,30,DET,PG,65,39,1600,.445,14.7,.608,.220,.210,.065,.113,.393,.465,.614,.429,.346,.311,.414,.416,.862,.003,0,.248,.487,2,0,,josepco01
162,Josh Richardson,28,2TM,SG,65,7,1600,.438,17.2,.539,.109,.154,.178,.099,.461,.458,.655,.390,.432,.396,.415,.477,.990,.017,8,.183,.422,1,0,,richajo01
162,Josh Richardson,28,BOS,SG,44,0,1087,.443,17.1,.545,.108,.155,.175,.108,.455,.481,.703,.453,.400,.432,.397,.444,.984,.012,3,.218,.353,0,0,,richajo01
162,Josh Richardson,28,SAS,SG,21,7,513,.429,17.4,.529,.110,.152,.183,.084,.471,.416,.571,.276,.486,.313,.444,.548,1.000,.026,5,.122,.636,1,0,,richajo01
163,Torrey Craig,31,2TM,SF,78,16,1596,.454,16.2,.469,.231,.141,.057,.041,.531,.594,.725,.532,.400,.333,.329,.585,.961,.041,18,.410,.365,2,0,,craigto01
163,Torrey Craig,31,IND,SF,51,14,1034,.456,15.2,.509,.260,.135,.057,.057,.491,.573,.712,.500,.375,.313,.333,.561,.978,.036,10,.442,.443,1,0,,craigto01
163,Torrey Craig,31,PHO,SF,27,2,562,.450,17.2,.400,.181,.150,.056,.013,.600,.641,.759,.583,.444,.500,.323,.634,.935,.050,8,.365,.229,1,0,,craigto01
164,Gabe Vincent,25,MIA,PG,68,27,1589,.417,19.5,.370,.138,.078,.082,.072,.630,.500,.563,.475,.524,.378,.368,.400,.798,.002,1,.251,.420,5,0,,vincega01
165,Max Strus,25,MIA,SF,68,16,1587,.441,21.1,.216,.135,.053,.016,.012,.784,.557,.658,.433,.222,.429,.410,.779,.956,.016,7,.258,.500,1,0,,strusma01
166,Jusuf Nurkić,27,POR,C,56,56,1579,.535,5.9,.907,.490,.350,.030,.037,.093,.563,.653,.481,.278,.364,.268,.627,.933,.062,35,.018,1.000,0,0,,nurkiju01
167,De'Andre Hunter,24,ATL,SF,53,52,1577,.442,13.9,.661,.219,.179,.153,.110,.339,.474,.651,.398,.409,.333,.379,.661,.932,.043,22,.405,.405,0,0,,huntede01
168,Amir Coffey,24,LAC,SG,69,30,1567,.453,16.8,.455,.165,.167,.077,.045,.545,.542,.779,.449,.417,.238,.378,.591,.938,.034,14,.291,.365,1,0,,coffeam01
169,Oshae Brissett,23,IND,SF,67,25,1564,.411,13.9,.532,.326,.152,.024,.030,.468,.465,.582,.299,.167,.267,.350,.672,.964,.075,32,.329,.372,2,0,,brissos01
170,Marcus Morris,32,LAC,PF,54,54,1564,.434,17.6,.602,.046,.145,.240,.171,.398,.478,.688,.490,.470,.424,.367,.327,.901,.001,0,.215,.373,2,0,,morrima03
171,Gordon Hayward,31,CHO,SF,49,48,1564,.459,14.4,.643,.214,.173,.157,.099,.357,.496,.682,.327,.381,.574,.391,.579,.872,.032,19,.205,.444,0,0,,haywago01
172,Tyus Jones,25,MEM,PG,73,23,1549,.451,15.2,.629,.100,.241,.243,.045,.371,.487,.600,.496,.455,.360,.390,.367,.838,.000,0,.210,.395,0,0,6MOY-11,jonesty01
173,Chris Duarte,24,IND,SG,55,39,1541,.432,15.5,.589,.203,.135,.148,.103,.411,.475,.627,.369,.380,.453,.369,.477,.787,.027,15,.282,.375,4,0,,duartch01
174,Trey Lyles,26,2TM,PF,75,23,1537,.466,12.5,.628,.292,.224,.077,.036,.372,.552,.671,.516,.279,.400,.321,.600,1.000,.046,23,.239,.380,1,0,,lylestr01
174,Trey Lyles,26,DET,PF,51,3,990,.456,13.2,.620,.284,.216,.073,.047,.380,.550,.651,.530,.321,.389,.301,.588,1.000,.039,14,.205,.333,1,0,,lylestr01
174,Trey Lyles,26,SAC,PF,24,20,547,.489,11.8,.646,.309,.242,.084,.011,.354,.557,.709,.488,.200,.500,.365,.625,1.000,.062,9,.317,.450,0,0,,lylestr01
175,Javonte Green,28,CHI,SF,65,45,1519,.542,9.1,.689,.535,.123,.031,.000,.311,.625,.695,.425,.200,,.356,.679,1.000,.194,58,.594,.433,0,0,,greenja02
176,Talen Horton-Tucker,21,LAL,SG,60,19,1511,.416,12.8,.662,.297,.204,.100,.059,.338,.492,.613,.409,.389,.344,.269,.406,.796,.035,16,.187,.324,0,0,,hortota01
177,Jerami Grant,27,DET,PF,47,47,1500,.426,15.2,.637,.202,.149,.106,.180,.363,.465,.631,.442,.243,.429,.358,.498,.967,.049,29,.358,.330,1,0,,grantje01
178,Alperen Sengun,19,HOU,C,72,13,1489,.474,9.0,.777,.429,.297,.042,.010,.223,.539,.671,.385,.318,.400,.248,.436,.966,.099,44,.085,.200,6,0,,sengual01
179,Kyle Anderson,28,MEM,PF,69,11,1484,.446,10.7,.768,.279,.303,.141,.045,.232,.481,.641,.437,.333,.238,.330,.514,.972,.043,19,.422,.435,0,0,,anderky01
180,Kristaps Porziņģis,26,2TM,PF,51,51,1481,.459,14.3,.671,.214,.183,.186,.089,.329,.532,.762,.414,.420,.456,.310,.682,.987,.124,85,.028,.429,1,0,,porzikr01
180,Kristaps Porziņģis,26,DAL,PF,34,34,1002,.451,14.3,.659,.230,.161,.191,.077,.341,.537,.778,.427,.392,.410,.283,.711,1.000,.132,60,.029,.400,0,0,,porzikr01
180,Kristaps Porziņģis,26,WAS,PF,17,17,479,.475,14.3,.695,.181,.224,.178,.112,.305,.522,.723,.397,.478,.517,.367,.628,.966,.108,25,.025,.500,1,0,,porzikr01
181,Austin Rivers,29,DEN,SG,67,18,1480,.417,17.9,.340,.160,.151,.020,.009,.660,.563,.750,.453,.143,.000,.342,.463,.848,.006,2,.450,.471,0,0,,riverau01
182,Patrick Beverley,33,MIN,PG,58,54,1476,.406,16.6,.445,.170,.206,.050,.018,.555,.485,.568,.433,.545,.125,.343,.255,.783,.000,0,.227,.473,1,0,,beverpa01
183,Nickeil Alexander-Walker,23,2TM,SG,65,21,1466,.372,17.0,.503,.213,.162,.071,.057,.497,.433,.579,.318,.375,.282,.311,.399,.876,.015,8,.240,.370,2,0,,alexani01
183,Nickeil Alexander-Walker,23,NOP,SG,50,19,1317,.375,15.6,.517,.217,.166,.074,.060,.483,.434,.584,.333,.362,.263,.311,.408,.895,.014,8,.230,.371,2,0,,alexani01
183,Nickeil Alexander-Walker,23,UTA,SG,15,2,149,.333,18.4,.313,.167,.104,.021,.021,.688,.400,.500,.000,1.000,1.000,.303,.167,.700,.021,0,.333,.364,0,0,,alexani01
184,Nicolas Batum,33,LAC,PF,59,54,1463,.463,20.2,.302,.121,.044,.057,.080,.698,.607,.809,.412,.636,.387,.400,.831,.972,.047,14,.315,.471,0,0,,batumni01
185,Cedi Osman,26,CLE,SF,66,3,1462,.432,17.9,.372,.227,.107,.017,.021,.628,.559,.654,.443,.200,.417,.357,.689,.867,.014,8,.181,.415,1,0,,osmande01
186,Norman Powell,28,2TM,SG,45,41,1458,.461,14.3,.582,.256,.179,.058,.089,.418,.491,.568,.407,.514,.426,.419,.509,.877,.026,13,.316,.388,0,0,,powelno01
186,Norman Powell,28,POR,SF,40,39,1333,.456,14.4,.577,.264,.172,.052,.090,.423,.492,.559,.409,.464,.469,.406,.513,.914,.028,12,.332,.382,0,0,,powelno01
186,Norman Powell,28,LAC,SG,5,2,125,.508,14.2,.619,.190,.238,.111,.079,.381,.487,.667,.400,.714,.000,.542,.474,.615,.016,1,.167,.500,0,0,,powelno01
187,Delon Wright,29,ATL,SG,77,8,1452,.454,14.1,.569,.294,.190,.045,.041,.431,.510,.620,.412,.250,.455,.379,.449,.818,.026,7,.250,.276,3,0,,wrighde01
188,Maxi Kleber,30,DAL,PF,59,21,1450,.398,19.9,.280,.164,.051,.040,.025,.720,.586,.845,.278,.214,.111,.325,.845,.988,.056,20,.231,.322,1,0,6MOY-11,klebima01
189,Terrence Ross,30,ORL,SG,63,0,1448,.397,18.0,.523,.108,.125,.155,.135,.477,.493,.700,.435,.523,.347,.292,.524,.779,.023,10,.133,.314,4,0,,rosste01
190,Daniel Gafford,23,WAS,C,72,53,1444,.693,2.9,.998,.657,.304,.022,.012,.002,.695,.837,.448,.333,.000,.000,.737,,.438,158,.000,,0,0,,gaffoda01
191,Bradley Beal,28,WAS,SG,40,40,1439,.451,13.1,.728,.197,.252,.171,.108,.272,.508,.697,.407,.470,.458,.300,.365,.603,.017,13,.238,.380,0,0,,bealbr01
192,Landry Shamet,24,PHO,SG,69,14,1437,.394,20.0,.311,.089,.109,.058,.056,.689,.450,.628,.340,.393,.444,.368,.603,.951,.029,13,.302,.396,2,0,,shamela01
193,Andre Drummond,28,2TM,C,73,36,1437,.570,2.8,.993,.707,.261,.021,.005,.007,.574,.641,.434,.222,.000,.000,.591,,.249,93,.000,,2,0,,drumman01
193,Andre Drummond,28,PHI,C,49,12,902,.538,2.7,.992,.706,.265,.021,.000,.008,.542,.643,.286,.400,,.000,.539,,.235,48,.000,,1,0,,drumman01
193,Andre Drummond,28,BRK,C,24,24,535,.610,3.0,.995,.708,.256,.021,.010,.005,.613,.638,.620,.000,.000,.000,.647,,.267,45,.000,,1,0,,drumman01
194,Austin Reaves,23,LAL,SG,61,19,1418,.459,16.6,.475,.211,.157,.066,.041,.525,.616,.746,.560,.571,.231,.317,.559,.981,.019,6,.287,.354,3,0,,reaveau01
195,Furkan Korkmaz,24,PHI,SG,67,19,1414,.387,17.4,.434,.187,.149,.047,.051,.566,.515,.739,.314,.500,.292,.289,.524,.870,.021,8,.199,.283,2,0,,korkmfu01
196,Avery Bradley,31,LAL,SG,62,45,1406,.423,18.1,.400,.137,.091,.083,.089,.600,.471,.604,.281,.483,.452,.390,.636,.939,.003,1,.538,.381,0,0,,bradlav01
197,Anthony Davis,28,LAL,C,40,40,1404,.532,9.6,.899,.376,.193,.150,.181,.101,.571,.793,.485,.317,.413,.186,.647,.846,.177,111,.100,.429,0,0,,davisan02
198,R.J. Hampton,20,ORL,SG,64,14,1402,.383,13.7,.600,.217,.304,.044,.035,.400,.405,.525,.360,.200,.313,.350,.333,.906,.028,9,.197,.389,1,0,,hamptrj01
199,Jaxson Hayes,21,NOP,C,70,28,1398,.616,6.6,.857,.540,.259,.040,.018,.143,.660,.777,.485,.375,.286,.351,.760,.950,.281,105,.316,.278,1,0,,hayesja02
200,Otto Porter Jr.,28,GSW,PF,63,15,1396,.464,16.7,.481,.161,.163,.087,.070,.519,.565,.746,.515,.444,.414,.370,.735,.950,.029,11,.241,.327,0,0,,porteot01
201,Raul Neto,29,WAS,PG,70,19,1372,.463,12.0,.728,.231,.313,.159,.025,.272,.526,.667,.449,.471,.545,.292,.331,.686,.000,0,.142,.294,2,0,,netora01
202,Caleb Martin,26,MIA,SF,60,12,1372,.507,12.6,.622,.373,.146,.034,.068,.378,.565,.739,.250,.143,.500,.413,.604,.906,.107,36,.452,.400,1,0,,martica02
203,Tre Mann,20,OKC,PG,60,26,1367,.393,16.7,.537,.102,.264,.094,.078,.463,.421,.533,.394,.418,.370,.360,.286,.663,.014,6,.143,.436,4,0,,manntr01
204,Eric Bledsoe,32,LAC,PG,54,29,1361,.421,14.2,.652,.231,.194,.107,.120,.348,.479,.611,.462,.440,.286,.313,.301,.902,.002,1,.129,.333,2,0,,bledser01
205,Danny Green,34,PHI,SF,62,28,1353,.394,21.8,.153,.069,.047,.019,.019,.847,.469,.682,.200,.500,.333,.380,.870,.922,.003,1,.487,.402,1,0,,greenda02
206,Ziaire Williams,20,MEM,SF,62,31,1346,.450,17.2,.429,.179,.108,.083,.059,.571,.632,.855,.478,.343,.640,.314,.800,.961,.104,44,.471,.325,2,0,,willizi02
207,Josh Christopher,20,HOU,SG,74,2,1334,.448,13.3,.622,.300,.188,.114,.020,.378,.540,.647,.532,.333,.200,.296,.423,.768,.078,35,.217,.317,6,0,,chrisjo01
208,Draymond Green,31,GSW,PF,46,44,1329,.525,9.8,.790,.315,.377,.058,.039,.210,.586,.716,.557,.267,.300,.296,.714,1.000,.093,21,.222,.167,4,0,DPOY-10AS,greendr01
209,Bones Hyland,21,DEN,SG,69,4,1310,.403,19.4,.373,.123,.130,.072,.049,.627,.465,.700,.284,.341,.536,.366,.364,.687,.009,3,.173,.306,2,0,,hylanbo01
210,Jalen Suggs,20,ORL,PG,48,45,1307,.361,13.3,.642,.263,.245,.069,.066,.358,.443,.611,.313,.395,.306,.214,.365,.667,.035,15,.122,.208,1,0,,suggsja01
211,John Konchar,25,MEM,SG,72,7,1292,.515,14.3,.519,.332,.092,.053,.042,.481,.610,.736,.458,.429,.182,.413,.614,.923,.080,18,.460,.448,0,0,,konchjo01
212,Bryn Forbes,28,2TM,SG,75,2,1286,.429,19.6,.453,.043,.137,.109,.163,.547,.447,.609,.432,.525,.364,.414,.697,.959,.000,0,.173,.569,0,0,,forbebr01
212,Bryn Forbes,28,SAS,SG,40,1,676,.432,18.9,.490,.054,.132,.155,.149,.510,.448,.688,.359,.478,.409,.417,.708,.937,.000,0,.179,.519,0,0,,forbebr01
212,Bryn Forbes,28,DEN,SG,35,1,610,.424,20.2,.407,.029,.144,.053,.181,.593,.444,.429,.514,.692,.318,.410,.682,.983,.000,0,.167,.625,0,0,,forbebr01
213,Ben McLemore,28,POR,SG,64,6,1285,.401,21.9,.226,.091,.033,.006,.096,.774,.533,.694,.389,.333,.442,.362,.846,.967,.017,8,.309,.488,2,0,,mclembe01
214,Chimezie Metu,24,SAC,C,60,20,1279,.452,14.0,.586,.229,.223,.085,.049,.414,.555,.718,.490,.368,.409,.306,.740,.965,.167,63,.301,.304,0,0,,metuch01
215,Cameron Payne,27,PHO,PG,58,12,1278,.409,13.8,.641,.187,.300,.112,.041,.359,.449,.536,.381,.530,.333,.336,.183,.634,.002,1,.085,.222,1,0,,payneca01
216,Hamidou Diallo,23,DET,SG,58,29,1269,.496,9.5,.823,.333,.300,.122,.068,.177,.550,.691,.500,.391,.361,.247,.517,.913,.101,51,.505,.277,2,0,,diallha01
217,Damion Lee,29,GSW,SG,63,5,1256,.441,16.4,.512,.188,.146,.091,.086,.488,.541,.833,.429,.343,.303,.337,.736,.984,.005,2,.396,.324,2,0,,leeda03
218,George Hill,35,MIL,PG,54,17,1253,.429,15.4,.513,.265,.138,.062,.047,.487,.546,.740,.316,.294,.462,.306,.442,.927,.015,3,.381,.392,1,0,,hillge01
219,Gary Payton II,29,GSW,SG,71,16,1248,.616,10.4,.651,.398,.244,.003,.006,.349,.754,.825,.655,.000,.500,.358,.787,1.000,.180,55,.600,.403,1,0,,paytoga02
220,Brandon Clarke,25,MEM,PF,64,1,1246,.644,5.4,.951,.508,.311,.116,.016,.049,.666,.775,.568,.462,.571,.227,.700,1.000,.181,77,.682,.200,0,0,6MOY-11,clarkbr01
221,Tim Hardaway Jr.,29,DAL,SG,42,20,1245,.394,19.6,.426,.094,.092,.098,.142,.574,.473,.680,.429,.404,.413,.336,.664,.804,.034,15,.194,.322,4,0,,hardati02
222,Drew Eubanks,24,2TM,C,71,31,1245,.596,6.2,.938,.442,.364,.094,.038,.062,.621,.683,.563,.657,.357,.217,.759,1.000,.237,77,.174,.250,0,0,,eubandr01
222,Drew Eubanks,24,SAS,C,49,9,595,.528,5.7,.950,.453,.384,.069,.044,.050,.550,.597,.541,.455,.286,.125,.759,1.000,.226,31,.250,.500,0,0,,eubandr01
222,Drew Eubanks,24,POR,C,22,22,650,.646,6.6,.929,.434,.349,.113,.033,.071,.675,.750,.581,.750,.429,.267,.759,1.000,.245,46,.133,.000,0,0,,eubandr01
223,Myles Turner,25,IND,C,42,42,1235,.509,14.8,.534,.242,.216,.048,.028,.466,.662,.789,.565,.526,.545,.333,.683,1.000,.061,22,.186,.324,0,0,,turnemy01
224,Aleksej Pokusevski,20,OKC,PF,61,12,1233,.408,14.6,.568,.200,.248,.070,.050,.432,.498,.703,.416,.344,.304,.289,.535,.947,.075,32,.203,.325,0,0,,pokusal01
225,Obi Toppin,23,NYK,PF,72,10,1230,.531,10.5,.643,.505,.108,.017,.013,.357,.655,.728,.392,.375,.333,.308,.824,1.000,.235,102,.491,.349,1,0,,toppiob01
226,Doug McDermott,30,SAS,PF,51,51,1223,.462,16.6,.449,.176,.185,.060,.028,.551,.512,.646,.395,.464,.538,.422,.850,.991,.011,5,.188,.542,0,0,,mcderdo01
